index;subindex;description;type;access;rxPDO;txPDO;c_identifier;setter;getter;ctype
0x2029;0x0;Auxiliary Velocity Actual Value Averaged;INTEGER32;RO;0;1;auxiliary_velocity_actual_value_averaged;NA;get_auxiliary_velocity_actual_value_averaged;int32_t
0x202C;0x0;Internal Object Number of Entries (2);UNSIGNED8;RO;1;1;internal_object_number_of_entries_2;NA;get_internal_object_number_of_entries_2;uint8_t
0x202C;0x1;Internal Object Main Position Sensor Resolution;UNSIGNED32;RO;1;0;internal_object_main_position_sensor_resolution;NA;get_internal_object_main_position_sensor_resolution;uint32_t
0x202C;0x2;Internal Object Maximal Velocity Limit;UNSIGNED32;RO;1;1;internal_object_maximal_velocity_limit;NA;get_internal_object_maximal_velocity_limit;uint32_t
0x202C;0x3;Internal Object Auxiliary Position Sensor Resolution;UNSIGNED32;RO;1;1;internal_object_auxiliary_position_sensor_resolution;NA;get_internal_object_auxiliary_position_sensor_resolution;uint32_t
0x202D;0x0;Internal Object Number of Entries (3);UNSIGNED8;RO;1;1;internal_object_number_of_entries_3;NA;get_internal_object_number_of_entries_3;uint8_t
0x202D;0x1;Internal Object Maximum measured angle difference;INTEGER16;RO;1;0;internal_object_maximum_measured_angle_difference;NA;get_internal_object_maximum_measured_angle_difference;int16_t
0x202D;0x2;Internal Object Minimum measured angle difference;INTEGER16;RO;1;0;internal_object_minimum_measured_angle_difference;NA;get_internal_object_minimum_measured_angle_difference;int16_t
0x202D;0x3;Internal Object Angle difference overflow counter;UNSIGNED16;RO;1;0;internal_object_angle_difference_overflow_counter;NA;get_internal_object_angle_difference_overflow_counter;uint16_t
0x202D;0x4;Internal Object Angle Error factor 2 pole motor;UNSIGNED16;RW;0;0;internal_object_angle_error_factor_2_pole_motor;set_internal_object_angle_error_factor_2_pole_motor;get_internal_object_angle_error_factor_2_pole_motor;uint16_t
0x202D;0x5;Internal Object Angle Error factor N pole motor;UNSIGNED16;RW;0;0;internal_object_angle_error_factor_n_pole_motor;set_internal_object_angle_error_factor_n_pole_motor;get_internal_object_angle_error_factor_n_pole_motor;uint16_t
0x202E;0x0;Internal Object Number of Entries (4);UNSIGNED8;RO;0;0;internal_object_number_of_entries_4;NA;get_internal_object_number_of_entries_4;uint8_t
0x202E;0x1;Internal Object ADC NTC temperature value;UNSIGNED16;RO;1;1;internal_object_adc_ntc_temperature_value;NA;get_internal_object_adc_ntc_temperature_value;uint16_t
0x202E;0x2;Internal Object ADC current U (W1);INTEGER16;RO;1;1;internal_object_adc_current_u_w1;NA;get_internal_object_adc_current_u_w1;int16_t
0x202E;0x3;Internal Object ADC current V (W2);INTEGER16;RO;1;1;internal_object_adc_current_v_w2;NA;get_internal_object_adc_current_v_w2;int16_t
0x202E;0x4;Internal Object ADC Input voltage;UNSIGNED16;RO;1;1;internal_object_adc_input_voltage;NA;get_internal_object_adc_input_voltage;uint16_t
0x202E;0x5;Internal Object ADC Gate driver voltage;UNSIGNED16;RO;1;1;internal_object_adc_gate_driver_voltage;NA;get_internal_object_adc_gate_driver_voltage;uint16_t
0x202E;0x6;Internal Object ADC Sine entry Voltage;UNSIGNED16;RO;1;1;internal_object_adc_sine_entry_voltage;NA;get_internal_object_adc_sine_entry_voltage;uint16_t
0x202E;0x7;Internal Object ADC Cosine entry Voltage;UNSIGNED16;RO;1;1;internal_object_adc_cosine_entry_voltage;NA;get_internal_object_adc_cosine_entry_voltage;uint16_t
0x202E;0x8;Internal Object ADC CAN-ID Switch 1;UNSIGNED16;RO;1;1;internal_object_adc_can_id_switch_1;NA;get_internal_object_adc_can_id_switch_1;uint16_t
0x202E;0x9;Internal Object ADC CAN-ID Switch 2;UNSIGNED16;RO;1;1;internal_object_adc_can_id_switch_2;NA;get_internal_object_adc_can_id_switch_2;uint16_t
0x2030;0x0;Current Mode Setting Value;INTEGER16;RW;1;1;current_mode_setting_value;set_current_mode_setting_value;get_current_mode_setting_value;int16_t
0x2031;0x0;Current Demand Value;INTEGER16;RO;0;1;current_demand_value;NA;get_current_demand_value;int16_t
0x2062;0x0;Position Mode Setting Value;INTEGER32;RW;1;1;position_mode_setting_value;set_position_mode_setting_value;get_position_mode_setting_value;int32_t
0x2069;0x0;Auxiliary Velocity Sensor Actual Value;INTEGER32;RO;0;1;auxiliary_velocity_sensor_actual_value;NA;get_auxiliary_velocity_sensor_actual_value;int32_t
0x206B;0x0;Velocity Mode Setting Value;INTEGER32;RW;1;1;velocity_mode_setting_value;set_velocity_mode_setting_value;get_velocity_mode_setting_value;int32_t
0x206C;0x0;Auxiliary Velocity Actual Value;INTEGER32;RO;0;1;auxiliary_velocity_actual_value;NA;get_auxiliary_velocity_actual_value;int32_t
0x2070;0x0;Internal Number of Entries (9);UNSIGNED8;RO;1;1;internal_number_of_entries_9;NA;get_internal_number_of_entries_9;uint8_t
0x2070;0x1;Configuration of Digital Input1;UNSIGNED16;RW;0;0;configuration_of_digital_input1;set_configuration_of_digital_input1;get_configuration_of_digital_input1;uint16_t
0x2070;0x2;Configuration of Digital Input2;UNSIGNED16;RW;0;0;configuration_of_digital_input2;set_configuration_of_digital_input2;get_configuration_of_digital_input2;uint16_t
0x2070;0x3;Configuration of Digital Input3;UNSIGNED16;RW;0;0;configuration_of_digital_input3;set_configuration_of_digital_input3;get_configuration_of_digital_input3;uint16_t
0x2070;0x4;Configuration of Digital Input4;UNSIGNED16;RW;0;0;configuration_of_digital_input4;set_configuration_of_digital_input4;get_configuration_of_digital_input4;uint16_t
0x2070;0x5;Configuration of Digital Input5;UNSIGNED16;RW;0;0;configuration_of_digital_input5;set_configuration_of_digital_input5;get_configuration_of_digital_input5;uint16_t
0x2070;0x6;Configuration of Digital Input6;UNSIGNED16;RW;0;0;configuration_of_digital_input6;set_configuration_of_digital_input6;get_configuration_of_digital_input6;uint16_t
0x2070;0x7;Configuration of Digital Input7;UNSIGNED16;RW;0;0;configuration_of_digital_input7;set_configuration_of_digital_input7;get_configuration_of_digital_input7;uint16_t
0x2070;0x8;Configuration of Digital Input8;UNSIGNED16;RW;0;0;configuration_of_digital_input8;set_configuration_of_digital_input8;get_configuration_of_digital_input8;uint16_t
0x2070;0x9;Configuration of Digital Input9;UNSIGNED16;RW;0;0;configuration_of_digital_input9;set_configuration_of_digital_input9;get_configuration_of_digital_input9;uint16_t
0x2071;0x0;Internal Number of Entries (10);UNSIGNED8;RO;1;1;internal_number_of_entries_10;NA;get_internal_number_of_entries_10;uint8_t
0x2071;0x1;Digital Input Functionalities State;UNSIGNED16;RO;0;1;digital_input_functionalities_state;NA;get_digital_input_functionalities_state;uint16_t
0x2071;0x2;Digital Input Functionalities Mask;UNSIGNED16;RW;0;0;digital_input_functionalities_mask;set_digital_input_functionalities_mask;get_digital_input_functionalities_mask;uint16_t
0x2071;0x3;Digital Input Functionalities Polarity;UNSIGNED16;RW;0;0;digital_input_functionalities_polarity;set_digital_input_functionalities_polarity;get_digital_input_functionalities_polarity;uint16_t
0x2071;0x4;Digital Input Functionalities Execution Mask;UNSIGNED16;RW;0;0;digital_input_functionalities_execution_mask;set_digital_input_functionalities_execution_mask;get_digital_input_functionalities_execution_mask;uint16_t
0x2074;0x0;Internal Number of Entries (11);UNSIGNED8;RO;1;1;internal_number_of_entries_11;NA;get_internal_number_of_entries_11;uint8_t
0x2074;0x1;Position Marker Captured Position;INTEGER32;RO;0;1;position_marker_captured_position;NA;get_position_marker_captured_position;int32_t
0x2074;0x2;Position Marker Edge Type;UNSIGNED8;RW;0;0;position_marker_edge_type;set_position_marker_edge_type;get_position_marker_edge_type;uint8_t
0x2074;0x3;Position Marker Mode;UNSIGNED8;RW;0;0;position_marker_mode;set_position_marker_mode;get_position_marker_mode;uint8_t
0x2074;0x4;Position Marker Counter;UNSIGNED16;RW;1;1;position_marker_counter;set_position_marker_counter;get_position_marker_counter;uint16_t
0x2074;0x5;Position Marker History (1);INTEGER32;RO;1;1;position_marker_history_1;NA;get_position_marker_history_1;int32_t
0x2074;0x6;Position Marker History (2);INTEGER32;RO;1;1;position_marker_history_2;NA;get_position_marker_history_2;int32_t
0x2078;0x0;Internal Number of Entries (12);UNSIGNED8;RO;1;1;internal_number_of_entries_12;NA;get_internal_number_of_entries_12;uint8_t
0x2078;0x1;Digital Output State;UNSIGNED16;RW;1;1;digital_output_state;set_digital_output_state;get_digital_output_state;uint16_t
0x2078;0x2;Digital Output Mask;UNSIGNED16;RW;0;0;digital_output_mask;set_digital_output_mask;get_digital_output_mask;uint16_t
0x2078;0x3;Digital Output Polarity;UNSIGNED16;RW;0;0;digital_output_polarity;set_digital_output_polarity;get_digital_output_polarity;uint16_t
0x2079;0x0;Internal Number of Entries (13);UNSIGNED8;RO;1;1;internal_number_of_entries_13;NA;get_internal_number_of_entries_13;uint8_t
0x2079;0x1;Configuration of Digital Output1;UNSIGNED16;RW;0;0;configuration_of_digital_output1;set_configuration_of_digital_output1;get_configuration_of_digital_output1;uint16_t
0x2079;0x2;Configuration of Digital Output2;UNSIGNED16;RW;0;0;configuration_of_digital_output2;set_configuration_of_digital_output2;get_configuration_of_digital_output2;uint16_t
0x2079;0x3;Configuration of Digital Output3;UNSIGNED16;RW;0;0;configuration_of_digital_output3;set_configuration_of_digital_output3;get_configuration_of_digital_output3;uint16_t
